Datetime,Close,High,Low,Volume
2025-06-17 16:00:00+00:00,103630.67,104484.97,103500.01,1788.59454
2025-06-17 17:00:00+00:00,103814.01,104250.0,103371.02,1318.17143
2025-06-17 18:00:00+00:00,104414.84,104414.85,103626.05,582.53411
2025-06-17 19:00:00+00:00,104686.12,105336.82,104414.83,1030.66661
2025-06-17 20:00:00+00:00,104362.39,104898.81,104262.88,631.39909
2025-06-17 21:00:00+00:00,104552.58,104822.31,104252.33,424.96971
2025-06-17 22:00:00+00:00,104228.31,104731.61,104203.85,339.43238
2025-06-17 23:00:00+00:00,104551.17,104730.77,104228.31,310.84641
2025-06-18 00:00:00+00:00,104842.78,104857.14,104379.52,396.62544
2025-06-18 01:00:00+00:00,104776.92,105176.61,104680.0,347.92348
2025-06-18 02:00:00+00:00,104856.06,105099.99,104695.82,299.75201
2025-06-18 03:00:00+00:00,105184.84,105240.0,104849.13,302.08543
2025-06-18 04:00:00+00:00,105447.39,105504.67,105074.25,286.6217
2025-06-18 05:00:00+00:00,105423.5,105550.27,105375.05,448.33108
2025-06-18 06:00:00+00:00,104966.2,105527.88,104859.18,578.89056
2025-06-18 07:00:00+00:00,104973.24,105000.9,104713.24,445.08193
2025-06-18 08:00:00+00:00,104949.9,105310.62,104756.33,393.96563
2025-06-18 09:00:00+00:00,104697.03,105142.0,104565.0,323.45218
2025-06-18 10:00:00+00:00,104266.19,104797.06,104175.87,531.68147
2025-06-18 11:00:00+00:00,104840.59,104858.8,104192.46,651.35695
2025-06-18 12:00:00+00:00,104514.0,104908.49,104474.81,615.40924
2025-06-18 13:00:00+00:00,104439.81,104550.92,103814.04,1121.40671
2025-06-18 14:00:00+00:00,104619.88,105325.83,104228.3,1418.42072
2025-06-18 15:00:00+00:00,104801.01,104973.79,104150.13,869.2412
2025-06-18 16:00:00+00:00,104426.93,104836.64,104334.78,509.29545
2025-06-18 17:00:00+00:00,104331.83,104508.0,103615.33,918.22252
2025-06-18 18:00:00+00:00,103623.39,104706.08,103586.0,1023.7841
2025-06-18 19:00:00+00:00,103808.41,104437.7,103500.0,839.17523
2025-06-18 20:00:00+00:00,104822.33,104988.88,103652.0,628.82425
2025-06-18 21:00:00+00:00,105085.5,105139.87,104378.62,574.55745
2025-06-18 22:00:00+00:00,104815.23,105138.0,104794.41,257.38438
2025-06-18 23:00:00+00:00,104886.78,104956.74,104630.09,187.15256
2025-06-19 00:00:00+00:00,104944.06,105226.17,104680.41,534.37997
2025-06-19 01:00:00+00:00,104599.25,104964.02,104466.16,386.57688
2025-06-19 02:00:00+00:00,104722.51,105000.64,104457.12,325.08223
2025-06-19 03:00:00+00:00,105100.02,105114.45,104722.5,233.06599
2025-06-19 04:00:00+00:00,105073.52,105111.37,104803.98,300.10136
2025-06-19 05:00:00+00:00,104892.86,105220.0,104819.62,274.94947
2025-06-19 06:00:00+00:00,104707.94,104989.34,104630.89,280.44541
2025-06-19 07:00:00+00:00,104642.85,104848.49,104617.69,276.76135
2025-06-19 08:00:00+00:00,104746.12,104986.13,104631.26,291.39146
2025-06-19 09:00:00+00:00,104994.0,105030.0,104729.83,284.66266
2025-06-19 10:00:00+00:00,104913.19,105073.53,104843.7,199.62218
2025-06-19 11:00:00+00:00,104776.23,104913.2,104720.1,173.90893
2025-06-19 12:00:00+00:00,104752.6,104917.05,104663.77,249.90189
2025-06-19 13:00:00+00:00,104283.33,104785.15,104244.11,413.67121
2025-06-19 14:00:00+00:00,104148.6,104690.47,104109.06,435.78555
2025-06-19 15:00:00+00:00,104096.93,104443.94,104078.0,496.14025
2025-06-19 16:00:00+00:00,104001.13,104425.15,103933.33,377.21937
2025-06-19 17:00:00+00:00,104521.31,104814.73,103929.27,684.04339
2025-06-19 18:00:00+00:00,104392.53,104694.01,104294.09,296.18725
2025-06-19 19:00:00+00:00,104250.44,104464.29,104126.98,266.773
2025-06-19 20:00:00+00:00,104266.82,104496.0,104150.0,161.1343
2025-06-19 21:00:00+00:00,104332.45,104413.66,104228.53,176.53959
2025-06-19 22:00:00+00:00,104596.29,104774.32,104332.45,323.86777
2025-06-19 23:00:00+00:00,104658.59,104898.31,104463.56,236.39591
2025-06-20 00:00:00+00:00,104692.74,104820.0,104563.25,238.6379
2025-06-20 01:00:00+00:00,104778.5,104797.06,104391.38,179.3014
2025-06-20 02:00:00+00:00,104628.0,104800.0,104496.5,378.45556
2025-06-20 03:00:00+00:00,104596.63,104700.0,104511.0,230.06249
2025-06-20 04:00:00+00:00,104258.59,104600.0,104238.02,233.22018
2025-06-20 05:00:00+00:00,104584.68,104585.99,104258.59,326.07738
2025-06-20 06:00:00+00:00,104719.86,104769.25,104584.68,234.96044
2025-06-20 07:00:00+00:00,105811.74,105825.66,104648.46,1083.81217
2025-06-20 08:00:00+00:00,105959.68,106524.65,105780.76,1568.80558
2025-06-20 09:00:00+00:00,105940.58,106078.85,105757.48,475.74806
2025-06-20 10:00:00+00:00,105958.87,106172.06,105829.18,509.44809
2025-06-20 11:00:00+00:00,105977.82,106075.14,105801.09,308.78491
2025-06-20 12:00:00+00:00,105982.89,106107.69,105876.01,249.32596
2025-06-20 13:00:00+00:00,105674.0,106149.17,105361.62,755.45526
2025-06-20 14:00:00+00:00,103940.01,105795.39,103888.0,1538.46329
2025-06-20 15:00:00+00:00,104217.99,104623.34,103888.0,1125.6248
2025-06-20 16:00:00+00:00,103670.61,104269.64,103620.01,1250.51824
2025-06-20 17:00:00+00:00,103279.26,103761.84,102345.0,2746.51433
2025-06-20 18:00:00+00:00,103165.45,103428.5,103037.25,792.98471
2025-06-20 19:00:00+00:00,103307.22,103495.72,103010.41,437.48107
2025-06-20 20:00:00+00:00,103693.5,103828.0,103300.11,712.51715
2025-06-20 21:00:00+00:00,103532.0,103719.99,103353.06,311.76605
2025-06-20 22:00:00+00:00,103107.11,103532.0,102980.0,435.1464
2025-06-20 23:00:00+00:00,103297.99,103339.99,102963.67,295.95141
2025-06-21 00:00:00+00:00,103248.07,103339.99,103127.48,202.14606
2025-06-21 01:00:00+00:00,103515.36,103515.37,103137.86,263.84601
2025-06-21 02:00:00+00:00,103499.98,103538.6,103377.44,139.14418
2025-06-21 03:00:00+00:00,103495.87,103691.67,103495.87,145.59786
2025-06-21 04:00:00+00:00,103384.98,103531.97,103333.0,129.74868
2025-06-21 05:00:00+00:00,103421.21,103487.0,103343.0,115.82266
2025-06-21 06:00:00+00:00,103572.69,103599.04,103330.0,164.9677
2025-06-21 07:00:00+00:00,103458.5,103572.69,103360.02,276.07214
2025-06-21 08:00:00+00:00,103826.03,103830.48,103458.49,335.53724
2025-06-21 09:00:00+00:00,103843.37,103933.33,103653.14,387.02991
2025-06-21 10:00:00+00:00,103831.22,103982.64,103767.77,298.42441
2025-06-21 11:00:00+00:00,103874.64,103929.99,103724.13,167.57049
2025-06-21 12:00:00+00:00,103807.7,103946.47,103786.61,151.86969
2025-06-21 13:00:00+00:00,103572.29,103866.98,103534.62,272.41367
2025-06-21 14:00:00+00:00,103549.99,103776.0,103382.97,497.84934
2025-06-21 15:00:00+00:00,103560.9,103680.0,103281.82,527.14166
2025-06-21 16:00:00+00:00,103486.01,103640.0,103449.1,208.22464
2025-06-21 17:00:00+00:00,103182.98,103589.2,103174.12,342.68316
2025-06-21 18:00:00+00:00,102645.22,103423.21,102633.45,616.44824
2025-06-21 19:00:00+00:00,102245.1,102757.22,102210.43,1198.04823
2025-06-21 20:00:00+00:00,102782.08,102888.88,102206.0,454.58904
2025-06-21 21:00:00+00:00,101455.61,102836.0,101110.0,1921.95689
2025-06-21 22:00:00+00:00,101772.96,102000.0,101446.74,652.3887
2025-06-21 23:00:00+00:00,102120.01,102322.41,100837.9,1684.69272
2025-06-22 00:00:00+00:00,102852.0,103399.62,101839.96,1871.90453
2025-06-22 01:00:00+00:00,102387.0,103005.37,102237.37,887.90565
2025-06-22 02:00:00+00:00,102347.64,102884.0,101885.98,1115.38093
2025-06-22 03:00:00+00:00,102375.4,102600.0,102127.34,464.71771
2025-06-22 04:00:00+00:00,102548.15,102786.38,102256.01,383.4842
2025-06-22 05:00:00+00:00,102853.89,102919.46,102548.14,414.14625
2025-06-22 06:00:00+00:00,102744.36,102946.47,102692.87,318.23622
2025-06-22 07:00:00+00:00,102424.61,102750.0,102269.18,365.86442
2025-06-22 08:00:00+00:00,102712.34,102712.34,102318.04,353.70287
2025-06-22 09:00:00+00:00,102199.99,102804.05,102080.0,564.4597
2025-06-22 10:00:00+00:00,102495.69,102532.44,102150.0,394.55689
2025-06-22 11:00:00+00:00,102739.48,102760.5,102428.69,488.58739
2025-06-22 12:00:00+00:00,102759.98,102831.0,102584.36,502.02446
2025-06-22 13:00:00+00:00,100865.66,102810.28,100268.75,3718.17394
2025-06-22 14:00:00+00:00,99628.28,101239.06,99066.36,5962.78508
2025-06-22 15:00:00+00:00,98906.21,99826.34,98889.35,2239.60197
2025-06-22 16:00:00+00:00,99667.17,99689.66,98673.66,1941.29236
2025-06-22 17:00:00+00:00,99480.0,100380.0,99407.98,1314.03627
2025-06-22 18:00:00+00:00,99437.42,99777.61,99350.34,497.41061
2025-06-22 19:00:00+00:00,98882.84,99453.75,98800.0,666.66278
2025-06-22 20:00:00+00:00,99536.0,99760.0,98200.0,1553.47813
2025-06-22 21:00:00+00:00,99173.83,99667.01,99004.72,581.67969
2025-06-22 22:00:00+00:00,100980.05,100980.06,99140.0,1447.49104
2025-06-22 23:00:00+00:00,100963.87,101034.65,100645.88,698.82763
2025-06-23 00:00:00+00:00,100904.6,101620.0,100494.25,1456.49465
2025-06-23 01:00:00+00:00,101101.64,101109.87,100564.19,510.13988
2025-06-23 02:00:00+00:00,101301.2,101399.37,100930.2,558.46691
2025-06-23 03:00:00+00:00,101154.14,101370.68,101073.32,405.1221
2025-06-23 04:00:00+00:00,101167.99,101314.46,100980.0,476.00651
2025-06-23 05:00:00+00:00,101771.02,101890.0,101167.99,654.30154
2025-06-23 06:00:00+00:00,101940.27,102064.69,101645.47,858.16211
2025-06-23 07:00:00+00:00,101931.04,102137.0,101748.31,520.59927
2025-06-23 08:00:00+00:00,101881.37,102080.0,101746.61,611.15349
2025-06-23 09:00:00+00:00,101567.66,101881.38,101389.09,744.83165
2025-06-23 10:00:00+00:00,101463.21,101577.01,101198.68,457.66095
2025-06-23 11:00:00+00:00,101289.01,101562.19,101102.76,713.87442
2025-06-23 12:00:00+00:00,101684.7,101684.7,101112.06,534.10819
2025-06-23 13:00:00+00:00,102354.14,102480.06,100792.16,1686.21308
2025-06-23 14:00:00+00:00,101624.39,102613.09,101496.0,1515.43225
2025-06-23 15:00:00+00:00,101420.7,102060.25,101301.2,715.91148
2025-06-23 16:00:00+00:00,100692.1,101453.35,99613.33,2500.92801
2025-06-23 17:00:00+00:00,102484.02,102690.0,100500.22,2504.13624
2025-06-23 18:00:00+00:00,102933.78,103300.0,102387.72,1726.1708
2025-06-23 19:00:00+00:00,103161.29,103230.76,102676.94,765.13745
2025-06-23 20:00:00+00:00,103739.99,103915.5,102880.0,1393.77246
2025-06-23 21:00:00+00:00,103705.52,104214.28,103624.19,1054.87886
2025-06-23 22:00:00+00:00,105538.19,106074.2,103697.06,4047.63551
2025-06-23 23:00:00+00:00,105333.93,105665.05,105115.65,1255.36828
